================================================================================
                          实验结果报告
================================================================================
算法名称: PSO粒子群算法
实验次数: 第 10 次
实验时间: 2025-12-22 14:27:10

【参数配置】
PSOParameters{
  swarmSize=100, w=0.70, c1=1.50, c2=1.50
  maxStagnantStep=30000 (早停阈值), maxRunTime=3.0分钟
}

================================================================================
                        PSO算法开始运行
================================================================================
粒子群大小: 100
惯性权重 w: 0.7
个体学习因子 c1: 1.5
社会学习因子 c2: 1.5
最大停滞步数: 30000
最大运行时间: 3.0 分钟
================================================================================

[初始化] 生成初始粒子群...
[初始化] 初始最优 Makespan: 39338.63

开始迭代优化...

代数   10 | 最优 Makespan: 38831.63 | 改进: +1.29% | 停滞: 9
代数   20 | 最优 Makespan: 38831.63 | 改进: +0.00% | 停滞: 19
代数   30 | 最优 Makespan: 38831.63 | 改进: +0.00% | 停滞: 29
代数   40 | 最优 Makespan: 38831.63 | 改进: +0.00% | 停滞: 39
代数   50 | 最优 Makespan: 38831.63 | 改进: +0.00% | 停滞: 49
代数   60 | 最优 Makespan: 38831.63 | 改进: +0.00% | 停滞: 59
代数   70 | 最优 Makespan: 38831.63 | 改进: +0.00% | 停滞: 69
代数   80 | 最优 Makespan: 38831.63 | 改进: +0.00% | 停滞: 79
代数   90 | 最优 Makespan: 38831.63 | 改进: +0.00% | 停滞: 89
代数  100 | 最优 Makespan: 38831.63 | 改进: +0.00% | 停滞: 99
代数  110 | 最优 Makespan: 38831.63 | 改进: +0.00% | 停滞: 109
代数  120 | 最优 Makespan: 38831.63 | 改进: +0.00% | 停滞: 119
代数  130 | 最优 Makespan: 38715.36 | 改进: +0.30% | 停滞: 5
代数  140 | 最优 Makespan: 38715.36 | 改进: +0.00% | 停滞: 15
代数  150 | 最优 Makespan: 38715.36 | 改进: +0.00% | 停滞: 25
代数  160 | 最优 Makespan: 38715.36 | 改进: +0.00% | 停滞: 35
代数  170 | 最优 Makespan: 38715.36 | 改进: +0.00% | 停滞: 45
代数  180 | 最优 Makespan: 38715.36 | 改进: +0.00% | 停滞: 55
代数  190 | 最优 Makespan: 38715.36 | 改进: +0.00% | 停滞: 65
代数  200 | 最优 Makespan: 38715.36 | 改进: +0.00% | 停滞: 75
代数  210 | 最优 Makespan: 38715.36 | 改进: +0.00% | 停滞: 85
代数  220 | 最优 Makespan: 38715.36 | 改进: +0.00% | 停滞: 95
代数  230 | 最优 Makespan: 38715.36 | 改进: +0.00% | 停滞: 105
代数  240 | 最优 Makespan: 38715.36 | 改进: +0.00% | 停滞: 115
代数  250 | 最优 Makespan: 38715.36 | 改进: +0.00% | 停滞: 125
代数  260 | 最优 Makespan: 38715.36 | 改进: +0.00% | 停滞: 135
代数  270 | 最优 Makespan: 38715.36 | 改进: +0.00% | 停滞: 145
代数  280 | 最优 Makespan: 38715.36 | 改进: +0.00% | 停滞: 155
代数  290 | 最优 Makespan: 38715.36 | 改进: +0.00% | 停滞: 165
