================================================================================
                          实验结果报告
================================================================================
算法名称: PSO粒子群算法
实验次数: 第 10 次
实验时间: 2025-12-22 15:02:00

【参数配置】
PSOParameters{
  swarmSize=100, w=0.70, c1=1.50, c2=1.50
  maxStagnantStep=30000 (早停阈值), maxRunTime=3.0分钟
}

================================================================================
                        PSO算法开始运行
================================================================================
粒子群大小: 100
惯性权重 w: 0.7
个体学习因子 c1: 1.5
社会学习因子 c2: 1.5
最大停滞步数: 30000
最大运行时间: 3.0 分钟
================================================================================

[初始化] 生成初始粒子群...
[初始化] 初始最优 Makespan: 74289.35

开始迭代优化...

代数   10 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 10
代数   20 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 20
代数   30 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 30
代数   40 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 40
代数   50 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 50
代数   60 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 60
代数   70 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 70
代数   80 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 80
代数   90 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 90
代数  100 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 100
代数  110 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 110
代数  120 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 120
代数  130 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 130
代数  140 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 140
代数  150 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 150
代数  160 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 160
代数  170 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 170
代数  180 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 180
代数  190 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 190
代数  200 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 200
代数  210 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 210
代数  220 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 220
代数  230 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 230
代数  240 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 240
代数  250 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 250
代数  260 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 260
代数  270 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 270
代数  280 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 280
代数  290 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 290
代数  300 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 300
代数  310 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 310
代数  320 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 320
代数  330 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 330
代数  340 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 340
代数  350 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 350
代数  360 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 360
代数  370 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 370
代数  380 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 380
代数  390 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 390
代数  400 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 400
代数  410 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 410
代数  420 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 420
代数  430 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 430
代数  440 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 440
代数  450 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 450
代数  460 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 460
代数  470 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 470
代数  480 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 480
代数  490 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 490
代数  500 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 500
代数  510 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 510
代数  520 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 520
代数  530 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 530
代数  540 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 540
代数  550 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 550
代数  560 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 560
代数  570 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 570
代数  580 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 580
代数  590 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 590
代数  600 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 600
代数  610 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 610
代数  620 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 620
代数  630 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 630
代数  640 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 640
代数  650 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 650
代数  660 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 660
代数  670 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 670
代数  680 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 680
代数  690 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 690
代数  700 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 700
代数  710 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 710
代数  720 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 720
代数  730 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 730
代数  740 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 740
代数  750 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 750
代数  760 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 760
代数  770 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 770
代数  780 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 780
代数  790 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 790
代数  800 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 800
代数  810 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 810
代数  820 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 820
代数  830 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 830
代数  840 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 840
代数  850 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 850
代数  860 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 860
代数  870 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 870
代数  880 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 880
代数  890 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 890
代数  900 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 900
代数  910 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 910
代数  920 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 920
代数  930 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 930
代数  940 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 940
代数  950 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 950
代数  960 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 960
代数  970 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 970
代数  980 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 980
代数  990 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 990
代数 1000 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1000
代数 1010 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1010
代数 1020 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1020
代数 1030 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1030
代数 1040 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1040
代数 1050 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1050
代数 1060 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1060
代数 1070 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1070
代数 1080 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1080
代数 1090 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1090
代数 1100 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1100
代数 1110 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1110
代数 1120 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1120
代数 1130 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1130
代数 1140 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1140
代数 1150 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1150
代数 1160 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1160
代数 1170 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1170
代数 1180 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1180
代数 1190 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1190
代数 1200 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1200
代数 1210 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1210
代数 1220 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1220
代数 1230 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1230
代数 1240 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1240
代数 1250 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1250
代数 1260 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1260
代数 1270 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1270
代数 1280 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1280
代数 1290 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1290
代数 1300 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1300
代数 1310 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1310
代数 1320 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1320
代数 1330 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1330
代数 1340 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1340
代数 1350 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1350
代数 1360 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1360
代数 1370 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1370
代数 1380 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1380
代数 1390 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1390
代数 1400 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1400
代数 1410 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1410
代数 1420 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1420
代数 1430 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1430
代数 1440 | 最优 Makespan: 74289.35 | 改进: +0.00% | 停滞: 1440
