迭代次数,Cmax
1,98111.7000
2,98111.7000
3,98111.7000
4,98111.7000
5,98111.7000
6,98111.7000
7,98111.7000
8,98111.7000
9,92469.0000
10,92469.0000
11,92469.0000
12,92469.0000
13,92469.0000
14,92469.0000
15,92469.0000
16,92469.0000
17,92469.0000
18,92469.0000
19,92469.0000
20,92469.0000
21,92469.0000
22,92469.0000
23,92469.0000
24,92469.0000
25,92469.0000
26,92469.0000
27,92469.0000
28,92469.0000
29,92469.0000
30,92469.0000
31,92469.0000
32,92469.0000
33,92469.0000
34,92469.0000
35,92469.0000
36,92469.0000
37,92469.0000
38,92469.0000
39,92469.0000
40,92469.0000
41,92469.0000
42,92469.0000
43,92469.0000
44,92469.0000
45,92469.0000
46,92469.0000
47,92469.0000
48,92469.0000
49,92469.0000
50,92469.0000
51,92469.0000
52,92469.0000
53,92469.0000
54,92469.0000
55,92469.0000
56,92469.0000
57,92469.0000
58,92469.0000
59,92469.0000
60,92469.0000
61,92469.0000
62,92469.0000
63,92469.0000
64,92469.0000
65,92469.0000
66,92469.0000
67,92469.0000
68,92469.0000
69,92469.0000
70,92469.0000
71,92469.0000
72,92469.0000
73,92469.0000
74,92469.0000
75,92469.0000
76,92469.0000
77,92469.0000
78,92469.0000
79,92469.0000
80,92469.0000
81,92469.0000
82,92469.0000
83,92469.0000
84,92469.0000
85,92469.0000
86,92469.0000
87,92469.0000
88,92469.0000
89,92469.0000
90,92469.0000
91,92469.0000
92,92469.0000
93,92469.0000
94,92469.0000
95,92469.0000
96,92469.0000
97,92469.0000
98,92469.0000
99,92469.0000
100,92469.0000
101,92469.0000
102,92469.0000
103,92469.0000
104,92469.0000
105,92469.0000
106,92469.0000
107,92469.0000
108,92469.0000
109,92469.0000
110,92469.0000
111,92469.0000
112,92469.0000
113,92469.0000
114,92469.0000
115,92469.0000
116,92469.0000
117,92469.0000
118,92469.0000
119,92469.0000
120,92469.0000
121,92469.0000
122,92469.0000
123,92469.0000
124,92469.0000
125,92469.0000
126,92469.0000
127,92469.0000
128,92469.0000
129,92469.0000
130,92469.0000
131,92469.0000
132,92469.0000
133,92469.0000
134,92469.0000
135,92469.0000
136,92469.0000
137,92469.0000
138,92469.0000
139,92469.0000
140,92469.0000
141,92469.0000
142,92469.0000
143,92469.0000
144,92469.0000
145,92469.0000
146,92469.0000
147,92469.0000
148,92469.0000
149,92469.0000
150,92469.0000
151,92469.0000
152,92469.0000
153,92469.0000
154,92469.0000
155,92469.0000
156,92469.0000
157,92469.0000
158,92469.0000
159,92469.0000
160,92469.0000
161,92469.0000
162,92469.0000
163,92469.0000
164,92469.0000
165,92469.0000
166,92469.0000
167,92469.0000
168,92469.0000
169,92469.0000
170,92469.0000
171,92469.0000
172,92469.0000
173,92469.0000
174,92469.0000
175,92469.0000
176,92469.0000
177,92469.0000
178,92469.0000
179,92469.0000
180,92469.0000
181,92469.0000
182,92469.0000
183,92469.0000
184,92469.0000
185,92469.0000
186,92469.0000
187,92469.0000
188,92469.0000
189,92469.0000
190,92469.0000
191,92469.0000
192,92469.0000
193,92469.0000
194,92469.0000
195,92469.0000
196,92469.0000
197,92469.0000
198,92469.0000
199,92469.0000
200,92469.0000
201,92469.0000
202,92469.0000
203,92469.0000
204,92469.0000
205,92469.0000
206,92469.0000
207,92469.0000
208,92469.0000
209,92469.0000
210,92469.0000
211,92469.0000
212,92469.0000
213,92469.0000
214,92469.0000
215,92469.0000
216,92469.0000
217,92469.0000
218,92469.0000
219,92469.0000
220,92469.0000
221,92469.0000
