================================================================================
                          实验结果报告
================================================================================
算法名称: PSO粒子群算法
实验次数: 第 8 次
实验时间: 2025-12-22 14:21:27

【参数配置】
PSOParameters{
  swarmSize=100, w=0.70, c1=1.50, c2=1.50
  maxStagnantStep=30000 (早停阈值), maxRunTime=3.0分钟
}

================================================================================
                        PSO算法开始运行
================================================================================
粒子群大小: 100
惯性权重 w: 0.7
个体学习因子 c1: 1.5
社会学习因子 c2: 1.5
最大停滞步数: 30000
最大运行时间: 3.0 分钟
================================================================================

[初始化] 生成初始粒子群...
[初始化] 初始最优 Makespan: 38317.22

开始迭代优化...

代数   10 | 最优 Makespan: 37425.22 | 改进: +2.33% | 停滞: 2
代数   20 | 最优 Makespan: 37425.22 | 改进: +0.00% | 停滞: 12
代数   30 | 最优 Makespan: 37425.22 | 改进: +0.00% | 停滞: 22
代数   40 | 最优 Makespan: 37425.22 | 改进: +0.00% | 停滞: 32
代数   50 | 最优 Makespan: 37425.22 | 改进: +0.00% | 停滞: 42
代数   60 | 最优 Makespan: 37425.22 | 改进: +0.00% | 停滞: 52
代数   70 | 最优 Makespan: 37425.22 | 改进: +0.00% | 停滞: 62
代数   80 | 最优 Makespan: 37184.22 | 改进: +0.64% | 停滞: 4
代数   90 | 最优 Makespan: 37184.22 | 改进: +0.00% | 停滞: 14
代数  100 | 最优 Makespan: 37184.22 | 改进: +0.00% | 停滞: 24
代数  110 | 最优 Makespan: 37184.22 | 改进: +0.00% | 停滞: 34
代数  120 | 最优 Makespan: 37184.22 | 改进: +0.00% | 停滞: 44
代数  130 | 最优 Makespan: 37184.22 | 改进: +0.00% | 停滞: 54
代数  140 | 最优 Makespan: 36929.22 | 改进: +0.69% | 停滞: 5
代数  150 | 最优 Makespan: 36929.22 | 改进: +0.00% | 停滞: 15
代数  160 | 最优 Makespan: 36929.22 | 改进: +0.00% | 停滞: 25
代数  170 | 最优 Makespan: 36929.22 | 改进: +0.00% | 停滞: 35
代数  180 | 最优 Makespan: 36929.22 | 改进: +0.00% | 停滞: 45
代数  190 | 最优 Makespan: 36929.22 | 改进: +0.00% | 停滞: 55
代数  200 | 最优 Makespan: 36929.22 | 改进: +0.00% | 停滞: 65
代数  210 | 最优 Makespan: 36929.22 | 改进: +0.00% | 停滞: 75
代数  220 | 最优 Makespan: 36929.22 | 改进: +0.00% | 停滞: 85
代数  230 | 最优 Makespan: 36511.22 | 改进: +1.13% | 停滞: 6
代数  240 | 最优 Makespan: 36511.22 | 改进: +0.00% | 停滞: 16
代数  250 | 最优 Makespan: 36511.22 | 改进: +0.00% | 停滞: 26
代数  260 | 最优 Makespan: 36511.22 | 改进: +0.00% | 停滞: 36
代数  270 | 最优 Makespan: 36511.22 | 改进: +0.00% | 停滞: 46
代数  280 | 最优 Makespan: 36511.22 | 改进: +0.00% | 停滞: 56
代数  290 | 最优 Makespan: 36511.22 | 改进: +0.00% | 停滞: 66
代数  300 | 最优 Makespan: 36511.22 | 改进: +0.00% | 停滞: 76
代数  310 | 最优 Makespan: 36511.22 | 改进: +0.00% | 停滞: 86
代数  320 | 最优 Makespan: 36511.22 | 改进: +0.00% | 停滞: 96
代数  330 | 最优 Makespan: 36511.22 | 改进: +0.00% | 停滞: 106
代数  340 | 最优 Makespan: 36511.22 | 改进: +0.00% | 停滞: 116
代数  350 | 最优 Makespan: 36511.22 | 改进: +0.00% | 停滞: 126
代数  360 | 最优 Makespan: 36511.22 | 改进: +0.00% | 停滞: 136
代数  370 | 最优 Makespan: 36511.22 | 改进: +0.00% | 停滞: 146
代数  380 | 最优 Makespan: 36511.22 | 改进: +0.00% | 停滞: 156
代数  390 | 最优 Makespan: 36511.22 | 改进: +0.00% | 停滞: 166
